scope,key,en-US,fr-FR,ru-RU,comment
MainFrm,$this.Text,,Système plieuse bidirectionnelle intelligente JINGGONG (V1.0),Интеллектуальная двунаправленная гибочная система JINGGONG (V1.0),
MainFrm,btnFeed.Text,,Alimentation automatique,Автоматическая подача,
MainFrm,btnMsgClr.Text,,Effacer,Очистить,
MainFrm,btn保存.Text,,Enregistrer,Сохранить,
MainFrm,btn发送到半自动.Text,,"Envoyer à

Semi-automatique",Отправить в полуавтомат,
MainFrm,btn另存为.Text,,Enregistrer sous,Сохранить как,
MainFrm,btn导航_分条.Text,,Refendre,Разрезка на полосы,
MainFrm,btn导航_库.Text,,Bibliothèque,Библиотека,
MainFrm,btn导航_手动.Text,,Manuel,Ручной,
MainFrm,btn导航_自动.Text,,Automatique,Автоматический,
MainFrm,btn导航_设置.Text,,Paramètres,Настройки,
MainFrm,btn手动强制.Text,,"Manuel

Forcé",Ручное принудительное,
MainFrm,btn折弯预览.Text,,"  Cintrage

Aperçu",Предпросмотр гибки,
MainFrm,btn撤消.Text,,Annuler,Отменить,
MainFrm,btn条款确定.Text,,Valider,OK,
MainFrm,btn构图完成.Text,,Terminé,Завершить,
MainFrm,btn登录.Text,,OK,OK (повтор),
MainFrm,btn重复.Text,,Répéter,Повторить,
MainFrm,btn重置视图.Text,,"  Réinitialiser

Vue",Сбросить вид,
MainFrm,btn颜色侧翻.Text,,"Couleur

Retournement",Цветовой боковой переворот,
MainFrm,label10.Text,,[mm],[mm],
MainFrm,label11.Text,,MT5,MT5,
MainFrm,label13.Text,,[mm],[mm],
MainFrm,label14.Text,,[mm],[mm],
MainFrm,label15.Text,,MT6,MT6,
MainFrm,label16.Text,,[mm],[mm],
MainFrm,label17.Text,,MT7,MT7,
MainFrm,label18.Text,,[mm],[mm],
MainFrm,label20.Text,,l,l,
MainFrm,label21.Text,,MT8,MT8,
MainFrm,label22.Text,,|,|,
MainFrm,label23.Text,,[mm],[mm],
MainFrm,label24.Text,,MT9,MT9,
MainFrm,label25.Text,,[mm],[mm],
MainFrm,label28.Text,,MPa,MPa,
MainFrm,label3.Text,,MT2,MT2,
MainFrm,label31.Text,,<->,<->,
MainFrm,label4.Text,,°C,°C,
MainFrm,label5.Text,,[mm],[mm],
MainFrm,label7.Text,,MT3,MT3,
MainFrm,label8.Text,,[mm],[mm],
MainFrm,label9.Text,,MT4,MT4,
MainFrm,lbAdsConn.Text,,API,ПЛК,
MainFrm,lbBFold.Text,,Cintrage inférieur,Нижняя гибка,
MainFrm,lbBSlide.Text,,Glissière inférieure,Нижнее скольжение,
MainFrm,lbCoupling.Text,,Accouplement,Сцепка,
MainFrm,lbDateTime.Text,,2023/8/2 16:16,2023/8/2 16:16,
MainFrm,lbMT1.Text,,1220,1220,
MainFrm,lbMT2.Text,,1220,1220,
MainFrm,lbMT3.Text,,1220,1220,
MainFrm,lbMT4.Text,,1220,1220,
MainFrm,lbMT5.Text,,1220,1220,
MainFrm,lbMT6.Text,,1220,1220,
MainFrm,lbMT7.Text,,1220,1220,
MainFrm,lbMT8.Text,,1220,1220,
MainFrm,lbMT9.Text,,1220,1220,
MainFrm,lbOilLevel.Text,,Niveau liquide normal,Уровень жидкости в норме,
MainFrm,lbPLC消息.Text,,Message API :,Сообщение ПЛК:,
MainFrm,lbServoRdy.Text,,Servo,Серводвигатель,
MainFrm,lbTFold.Text,,Cintrage supérieur,Верхняя гибка,
MainFrm,lbTSlide.Text,,Glissière supérieure,Верхнее скольжение,
MainFrm,lb下导_MT1.Text,,MT1,MT1,
MainFrm,lb下导_夹钳高度.Text,,"Pince

Hauteur",Высота зажима,
MainFrm,lb下导_模式.Text,,Mode,Режим,
MainFrm,lb下导_角度.Text,,Angle,Угол,
MainFrm,lb夹钳高度.Text,,123,123,
MainFrm,lb实际压力值.Text,,10,10,
MainFrm,lb工作单_尺寸.Text,,Dimension,Размер,
MainFrm,lb工作单_比例.Text,,Échelle,Масштаб,
MainFrm,lb工作单_角度.Text,,Angle,Угол,
MainFrm,lb工作单_角度尺寸.Text,,Angle+Dimension,Угол + размер,
MainFrm,lb成型角度.Text,,180,180,
MainFrm,lb油泵A.Text,,Pompe A,Маслонасос A,
MainFrm,lb油泵B.Text,,Pompe B,Маслонасос B,
MainFrm,lb纵切0L.Text,,L,L,
MainFrm,lb纵切0S.Text,,S,S,
MainFrm,lb纵切1L.Text,,L,L,
MainFrm,lb纵切1S.Text,,S,S,
MainFrm,lb翻板上次最大.Text,,180,180,
MainFrm,lb翻板角度.Text,,180,180,
MainFrm,lb自动_工作单设定.Text,,Réglage fiche de travail,Автоматическая подача,
MainFrm,lb自动_快速构图.Text,,Dessin rapide,Очистить,
MainFrm,lb自动_折弯生产.Text,,Production de cintrage,Сохранить,
MainFrm,lb自动_折弯预览.Text,,Aperçu cintrage,Отправить в полуавтомат,
MainFrm,lb钳口移动F.Text,,Avant,Сохранить как,
MainFrm,lb钳口移动M.Text,,Milieu,Разрезка на полосы,
MainFrm,lb钳口移动R.Text,,Arrière,Библиотека,
MainFrm,lb锥度单位.Text,,mm,Ручной,
MainFrm,lb锥度设定.Text,,"Réglage

cône",Автоматический,
MainFrm,lb锥度设定状态.Text,,Désactivé,Настройки,
MainFrm,richMsgInfo.Text,,,Ручное принудительное,
MainFrm,tbload.Text,,84880388,Предпросмотр гибки,
MainFrm,txbOilTemp.Text,,123,Отменить,
MainFrm,txbPumpASpd.Text,,1234,OK,
MainFrm,txbPumpBSpd.Text,,1234,Завершить,
MainFrm,txb锥度长度.Text,,3000,OK (повтор),
Strings,Auto.Action.DeleteAngle,"Delete
 Angle","  Supprimer

  angle",Удалить угол,
Strings,Auto.Action.InsertAngle,"Insert
 Angle","  Insérer

  angle",Вставить угол,
Strings,Auto.Action.LoadMaterial,"Load
 Material","  Charger

  matière",Загрузить материал,
Strings,Auto.Action.ResetCount,"Reset
 Count","  Réinitialiser

  compteur",Сбросить счёт,
Strings,Auto.Error.AngleRange,Angle must be between -180 and 180.,La valeur de l'angle doit être comprise entre -180 et 180.,Диапазон ввода угла должен быть от -180 до 180.,
Strings,Auto.Error.InvalidNumber,Please enter a valid number.,Veuillez entrer un nombre valide.,"Пожалуйста, введите действительное число.",
Strings,Auto.Error.LengthRange,Length must be between 0 and 1250.,La valeur de la longueur doit être comprise entre 0 et 1250.,Диапазон ввода длины должен быть от 0 до 1250.,
Strings,Auto.Error.ProfileRequired,Please finish the profile first.,Veuillez d'abord dessiner le profil de la plaque avant de régler le refendage en cours de production.,"Сначала завершите чертёж формы листа, затем установите «резку во время гибки».",
Strings,Auto.GripType.Down,DOWN,Bas,Вниз,
Strings,Auto.GripType.None,None,Non,Нет,
Strings,Auto.GripType.OpenDown,OPEN D,Ouvrir vers le bas,Открыть вниз,
Strings,Auto.GripType.OpenUp,OPEN U,Ouvrir vers le haut,Открыть вверх,
Strings,Auto.GripType.Up,UP,Haut,Вверх,
Strings,Auto.InlineSlitButton,"INLINE
SLIT","Refendage
en cours",Резка во время гибки,
Strings,Auto.Label.BottomSpringback,"BOT.
SPRB","Rebond

inférieur",Пружинение дна,
Strings,Auto.Label.CalculatedWidth,CALC. WIDTH,Largeur de plaque calculée :,Расчётная ширина листа:,
Strings,Auto.Label.Count,COUNT,Compteur :,Счёт:,
Strings,Auto.Label.Customer,Customer:,Client :,Клиент:,
Strings,Auto.Label.FeedColorSide,FEED COLOUR,Face de chargement couleur :,Сторона цвета подачи материала:,
Strings,Auto.Label.FoldSequence,FOLD SEQU.,Ordre de cintrage :,Последовательность гибки:,
Strings,Auto.Label.JobName,Job Name:,Nom de la fiche de travail :,Название рабочего заказа:,
Strings,Auto.Label.Length,Length:,Longueur :,Длина:,
Strings,Auto.Label.Material,Material:,Matériau :,Материал:,
Strings,Auto.Label.Notes,Notes:,Remarque :,Примечание:,
Strings,Auto.Label.RadialFold,Radial Fold,Cintrage radial,Радиальная гибка,
Strings,Auto.Label.SquashFoldType,Squash Fold Type,Type de cintrage par écrasement,Тип гибки сжатием,
Strings,Auto.Label.SquashLength,LENGTH,Longueur d'écrasement,Длина стороны сжатия,
Strings,Auto.Label.Thickness,Thickness:,Épaisseur :,Толщина:,
Strings,Auto.Label.TopSpringback,"TOP
SPRB","Rebond

supérieur",Верхнее пружинение,
Strings,Auto.Toggle.Continue,CONTINUE,Continu,Непрерывный,
Strings,Auto.Toggle.Off,OFF,Désactivé,Выкл.,
Strings,Auto.Toggle.Slit,SLIT,Refendre,Разрезка на полосы,
Strings,Auto.Toggle.Step,STEP,Étape,Шаг,
Strings,AutoDraw.Clear, Clear,Effacer,Очистить,
Strings,AutoDraw.Coarse,COARSE,Grossier,Грубо,
Strings,AutoDraw.Error.Calculation,Calculation error: {0},Erreur de calcul : {0},Ошибка вычисления: {0},
Strings,AutoDraw.Error.DrawProfileFirst,Please draw the profile first.,Veuillez d'abord dessiner le graphique !,Сначала нарисуйте график!,
Strings,AutoDraw.Error.InvalidGridUnitLength,Please enter a valid grid unit length greater than 0.,Veuillez saisir une longueur d'unité de grille valide et supérieure à 0.,Введите корректную длину шага сетки больше 0.,
Strings,AutoDraw.Error.InvalidPositiveLength,Please enter a valid length greater than 0.,Veuillez saisir une longueur valide et supérieure à 0.,Введите корректную длину больше 0.,
Strings,AutoDraw.Error.InvalidWaveCount,Please enter a valid wave count greater than 0.,Veuillez saisir un nombre d'ondes valide et supérieur à 0.,Введите корректное количество волн больше 0.,
Strings,AutoDraw.Fine,FINE,Fin,Точно,
Strings,AutoDraw.GridSize,Grid Size,Taille de grille,Размер сетки,
Strings,AutoDraw.GridUnitLength,"Grid Unit
Length","Unité de longueur

de cellule de grille",Единица длины ячейки сетки,
Strings,AutoDraw.Medium,MEDIUM,Adapter,По размеру,
Strings,AutoDraw.SnapToGrid,Snap to Grid,Aligner sur la grille,Выровнять по сетке,
Strings,AutoDraw.Undo, Undo,Annuler,Отменить,
Strings,AutoSet.FoldDirection.Short.Down,D,B,Н,
Strings,AutoSet.FoldDirection.Short.Up,U,H,В,
Strings,AutoSet.FoldPrefix,FOLD ,Cintrage ,Гибка,
Strings,AutoSet.Label.FeedColorSide,Feed Colour Side:,Face de chargement couleur :,Сторона цвета подачи материала:,
Strings,AutoSet.Label.FoldSequence,Fold Sequence:,Ordre de cintrage :,Последовательность гибки:,
Strings,AutoSet.Label.PendingSlitWidth,"Pending Slit
Sheet Width:","Largeur de plaque

à refendre :",Ширина листа для разрезки на полосы:,
Strings,AutoSet.Release.Short.High,H,Haut,Высокий,
Strings,AutoSet.Release.Short.Low,L,Bas,Низкий,
Strings,AutoSet.Release.Short.Maximum,X,Max,Макс.,
Strings,AutoSet.Release.Short.Medium,M,Moyen,Средний,
Strings,AutoView.Action.LoadMaterial,"Load
 Material","  Charger

  matière",Загрузить материал,
Strings,AutoView.Action.MoveFront,"Move
Up    ","  Déplacer

  avant",Переместить вперёд,
Strings,AutoView.Action.MoveRear,"Move
 Down","  Déplacer

  arrière",Переместить назад,
Strings,AutoView.Action.ResetCount,"Reset
 Count","  Réinitialiser

  compteur",Сбросить счёт,
Strings,AutoView.Action.ResetOrder,"Reset
 Order","  Réinitialiser

  commande",Сбросить заказ,
Strings,AutoView.Action.ResetSteps,"Reset
 Steps","  Réinitialiser

  étape",Сбросить шаг,
Strings,AutoView.Action.Run,Run,Fonctionner,Запуск,
Strings,AutoView.ClampOutside.A,A at Out,A à l'extérieur,A снаружи,
Strings,AutoView.ClampOutside.B,B at Out,B à l'extérieur,B снаружи,
Strings,AutoView.ColorSide.Below,ColourSide Below,Couleur vers le bas,Цвет вниз,
Strings,AutoView.ColorSide.Top,ColourSide Top,Couleur vers le haut,Цвет вверх,
Strings,AutoView.GripType.Grip,GRIP,Saisir,Захват,
Strings,AutoView.GripType.Overgrip,OVERGRIP,Saisir avec dépassement,Захват с перебегом,
Strings,AutoView.GripType.Push,PUSH,Pousser,Толкание,
Strings,AutoView.Label.BackGaugePosition,Backgauge Pos:,Position butée arrière,Положение заднего упора,
Strings,AutoView.Label.BottomSpringback,"BOT.
SPRB","Rebond

inférieur",Нижнее пружинение,
Strings,AutoView.Label.CalculatedWidth,CALC. WIDTH,Largeur de plaque calculée :,Расчётная ширина листа:,
Strings,AutoView.Label.Count,COUNT,Compteur :,Счёт:,
Strings,AutoView.Label.CurrentStep,Current Step,Étape actuelle,Текущий шаг,
Strings,AutoView.Label.FeedColorSide,FEED COLOUR,Face de chargement couleur :,Сторона цвета подачи материала:,
Strings,AutoView.Label.FoldDirection,FOLD DIRECTION,Direction de cintrage,Направление гибки,
Strings,AutoView.Label.FoldList,Fold List:,Liste des cintrages :,Список гибов:,
Strings,AutoView.Label.FoldSequence,FOLD SEQU.,Ordre de cintrage :,Последовательность гибки:,
Strings,AutoView.Label.GripType,"GRIP
TYPE","Type de

saisie",Тип захвата,
Strings,AutoView.Label.OperationTips,Operation Tips:,Consigne opératoire :,Подсказка по операции:,
Strings,AutoView.Label.PreviewJog,Step:,Aperçu pas à pas,Предпросмотр по шагам,
Strings,AutoView.Label.PreviewSpeedControl,Preview Speed Control,Réglage vitesse d'aperçu,Регулировка скорости предпросмотра,
Strings,AutoView.Label.ReleaseHeight,"UNCLAMP
  HEIGHT","Relâcher pince

Hauteur",Высота разжима зажима,
Strings,AutoView.Label.SelectedOutsideClamp,"Selected Out
side Clamp","Pince

sélectionnée à l'extérieur",Выбрано снаружи губок,
Strings,AutoView.Label.SpringbackAngle,"SPRINGBACK
ANGLE","Angle

de retour",Угол пружинения,
Strings,AutoView.Label.StartStep,Start Step,Démarrer l'étape,Начальный шаг,
Strings,AutoView.Label.TopSpringback,"TOP
SPRB","Rebond

supérieur",Верхнее пружинение,
Strings,AutoView.NextAction.Flip,Flip,Retourner,Переворот,
Strings,AutoView.NextAction.FlipComplete,Flip Complete,Retournement terminé,Переворот завершён,
Strings,AutoView.NextAction.FoldDown,Fold Down,Cintrage vers le bas,Гибка вниз,
Strings,AutoView.NextAction.FoldUp,Fold Up,Cintrage vers le haut,Гибка вверх,
Strings,AutoView.NextAction.Squash,Squash,Écrasement,Сжатие,
Strings,AutoView.Order.Forward,Positive Order,Ordre direct,Прямой порядок,
Strings,AutoView.Order.Reverse,Reverse Order,Ordre inverse,Обратный порядок,
Strings,AutoView.Preview.Auto,Auto Preview,Aperçu automatique,Автопредпросмотр,
Strings,AutoView.Preview.Jog,Jog Preview,Aperçu pas à pas,Предпросмотр по шагам,
Strings,AutoView.ReleaseHeight.High,HIGH,Haut,Высокий,
Strings,AutoView.ReleaseHeight.Low,LOW,Bas,Низкий,
Strings,AutoView.ReleaseHeight.Max,MAX,Max,Макс.,
Strings,AutoView.ReleaseHeight.Medium,MEDIUM,Moyen,Средний,
Strings,AutoView.Toggle.Continue,CONTINUE,Continu,Непрерывный,
Strings,AutoView.Toggle.Off,OFF,Désactivé,Выкл.,
Strings,AutoView.Toggle.Slit,SLIT,Refendre,Разрезка на полосы,
Strings,AutoView.Toggle.Step,STEP,Étape,Шаг,
Strings,CheckItem.Item1,1.The Laser Position should be set according to the instructions;,1. L'installation du laser doit suivre les instructions du manuel ;,1. Установите лазер в соответствии с инструкцией;,
Strings,CheckItem.Item2,"2.The Height Position of the Mute Signal is set correctly, about {0}-{1};","2. La hauteur du doigt d'arrêt doit être correctement réglée, environ {0}-{1} ;","2. Правильно установите высоту пальцевого упора, примерно {0}-{1};",
Strings,CheckItem.Item3,3.Set the Half Clamping Position to around {0};,3. La position de la demi-pince doit être réglée autour de {0} ;,3. Установите положение полузажима около {0};,
Strings,CheckItem.Item4,4.Kick Pole isn't obstructed and Emergency-Stop button Popped up;,4. La corde d'arrêt d'urgence n'est pas déclenchée et le bouton d'arrêt d'urgence est dégagé ;,"4. Аварийный трос не сработал, кнопка аварийной остановки отжата;",
Strings,CheckItem.Item5,5.Thickness of the bent material:,5. Épaisseur du matériau à cintrer :,5. Толщина сгибаемого материала:,
Strings,CheckItem.Item5Detail,"Steel ≤ {0}, Aluminum ≤ {1}, Stainless Steel ≤ {2};","tôle acier ≤ {0}, tôle aluminium ≤ {1}, tôle inox ≤ {2} ;","стальной лист ≤{0}, алюминиевый лист ≤{1}, нержавеющая сталь ≤{2};",
Strings,CheckItem.Item6,6. Have read the operation manual and received training;,6. Le manuel d'utilisation a été lu et une formation a été reçue ;,6. Ознакомьтесь с руководством по эксплуатации и прошли обучение.,
Strings,CheckItem.Note,These checks must be completed and agreed before operation can begin.,Ces vérifications doivent être effectuées et acceptées avant le début de l'opération.,Эти проверки должны быть выполнены и приняты до начала работы.,
Strings,CheckItem.Subtitle,All the following checks have been completed:,Toutes les vérifications suivantes ont été effectuées :,Все следующие проверки выполнены:,
Strings,CheckItem.Title,"Before Operating this Bi-directional Folder, You Must Agree that","Avant d'utiliser cette cintreuse deux côtés, vous devez accepter",Перед работой на этом двухстороннем листогибочном станке вы должны согласиться с,
Strings,Common.Auto,Auto,Automatique,Автоматический,
Strings,Common.ConfirmEnableSlitter,You Want to Enable Slitter?,Confirmer l'activation du refendage ?,Включить продольную резку?,
Strings,Common.Deg,deg,degré,град.,
Strings,Common.Disabled,Disabled,Désactivé,Отключено,
Strings,Common.Enabled,Enabled,Activé,Включено,
Strings,Common.ErrorTitle,Error,Erreur,Ошибка,
Strings,Common.High,HIGH,Haut,Высокий,
Strings,Common.Low,LOW,Bas,Низкий,
Strings,Common.Manual,Manual,Manuel,Ручной,
Strings,Common.Maximum,MAX,Max,Макс.,
Strings,Common.Medium,Medium,Moyen,Средний,
Strings,Common.Mm,mm,mm,мм,
Strings,Common.No,N,Non,Нет,
Strings,Common.Off,OFF,Désactivé,Выкл.,
Strings,Common.On,ON,Activé,Вкл.,
Strings,Common.PlcConnected,PLC Connection Successful.,Connexion API réussie !,Подключение к ПЛК успешно!,
Strings,Common.PlcDisconnected,PLC Connection Failed.,Échec connexion API !,Ошибка подключения к ПЛК!,
Strings,Common.TipsTitle,Tips,Information,Подсказка,
Strings,Common.Yes,Y,Oui,Да,
Strings,Dialog.Cancel,Cancel,Annuler,Отмена,
Strings,Dialog.Confirm,OK,OK,OK,
Strings,DisplayUnit.Display.Inch,Inch (in),Pouce (in),дюйм (in),
Strings,DisplayUnit.Display.Millimeter,Millimeter (mm),Millimètre (mm),миллиметр (mm),
Strings,Feed.Action.Back,Back,Retour,Назад,
Strings,Feed.Action.Confirm,Confirm,Confirmer,Подтв.,
Strings,Feed.Action.Delete,Delete,Supprimer,Удалить,
Strings,Feed.Action.Insert,Insert,Insérer,Вставить,
Strings,Feed.Action.MoveRack,"Move
Rack","Déplacer
chargeur","Перемест.
стол",
Strings,Feed.Action.RackBackward,Reverse,Reculer,Отвести,
Strings,Feed.Action.RackForward,Forward,Avancer,Вперед,
Strings,Feed.Column.Batch,Batch,Lot,Партия,
Strings,Feed.Column.Groups,Groups,Groupes,Группы,
Strings,Feed.Column.Index,No.,N°,№,
Strings,Feed.Column.Length,Length ({0}),Longueur ({0}),Длина ({0}),
Strings,Feed.Column.Quantity,Qty,Qté,Кол-во,
Strings,Feed.Column.Thickness,Thickness ({0}),Épaisseur ({0}),Толщина ({0}),
Strings,Feed.Column.Total,Total,Total,Итого,
Strings,Feed.Column.Width,Width ({0}),Largeur ({0}),Ширина ({0}),
Strings,Feed.Error.AddRowFailed,Failed to add row: {0},Échec d'ajout de ligne : {0},Ошибка добавления строки: {0},
Strings,Feed.Error.CannotPlaceOnT3T4,Cannot place the plate effectively on the T3-T4 clamp group.,Impossible de positionner valablement dans le groupe d'entraînement T3-T4,Невозможно корректно разместить в группе подачи T3-T4,
Strings,Feed.Error.DataConversion,Data conversion failed: {0},Échec de conversion de données : {0},Ошибка преобразования данных: {0},
Strings,Feed.Error.DenseGroupPositionInvalid,Invalid dense clamp group position.,Position du groupe de pincement dense invalide,Недопустимая позиция плотной группы подачи,
Strings,Feed.Error.FourGroupSpacingInsufficient,Four-group spacing is insufficient to avoid overlap.,L'espacement entre les quatre groupes est insuffisant pour éviter le chevauchement,"Недостаточный интервал между четырьмя группами, невозможно избежать перекрытия",
Strings,Feed.Error.FourGroupsLengthRange6001300,"For four-group placement, the plate length must be >= {0} and < {1}.","Pour quatre groupes, la longueur de plaque doit être >= {0} et < {1}",При размещении четырёх групп длина листа должна быть >= {0} и < {1},
Strings,Feed.Error.Generic,Error: {0},Erreur : {0},Ошибка: {0},
Strings,Feed.Error.GroupsOutOfRange,Plate {0} groups must be between 1 and 3.,Le nombre de groupes pour la plaque {0} doit être compris entre 1 et 3,Количество групп для листа {0} должно быть от 1 до 3,
Strings,Feed.Error.InvalidBatch,Invalid batch for plate {0}. Please enter a valid integer.,"Format du lot de la plaque {0} incorrect, veuillez entrer un nombre entier valide","Неверный формат партии для листа {0}, введите допустимое целое число",
Strings,Feed.Error.InvalidFeedPosition,Invalid feed position. Please enter a valid number.,"Format de la valeur de positionnement d'alimentation incorrect, veuillez entrer un nombre valide","Неверный формат значения позиционирования подачи, введите допустимое число",
Strings,Feed.Error.InvalidGroupCount,Invalid group count.,Nombre de groupes invalide,Неверное количество групп,
Strings,Feed.Error.InvalidGroups,Invalid group count for plate {0}. Please enter a valid integer.,"Format du nombre de groupes pour la plaque {0} incorrect, veuillez entrer un nombre entier valide","Неверный формат количества групп для листа {0}, введите допустимое целое число",
Strings,Feed.Error.InvalidIndex,Invalid plate index. Please enter a valid integer.,"Format du numéro de séquence de plaque incorrect, veuillez entrer un nombre entier valide","Неверный формат номера листа, введите допустимое целое число",
Strings,Feed.Error.InvalidIntegerColumn,Column {0} is invalid. Please enter a valid integer.,"Format de donnée de la colonne {0} incorrect, veuillez entrer un nombre entier valide","Неверный формат данных в столбце {0}, введите допустимое целое число",
